nome,genero,regiao
Afa,M,africa_subsaariana
Afacu,M,africa_subsaariana
Afae,F,africa_subsaariana
Afalla,M,africa_subsaariana
Afan,M,africa_subsaariana
Afanemoni,M,africa_subsaariana
Afena,F,africa_subsaariana
Affah,M,africa_subsaariana
Affenda,M,africa_subsaariana
Afia,F,africa_subsaariana
Afia,M,africa_subsaariana
Afiala,M,africa_subsaariana
Afinca,F,africa_subsaariana
Afion,M,africa_subsaariana
Afite,F,africa_subsaariana
Afo,M,africa_subsaariana
Afolabi,M,africa_subsaariana
Afonchue,M,africa_subsaariana
Afoonabah,M,africa_subsaariana
Afrae,F,africa_subsaariana
Aframa,F,africa_subsaariana
Afrokoe,M,africa_subsaariana
Afua,F,africa_subsaariana
Afuelu,F,africa_subsaariana
Afun,F,africa_subsaariana
Afuncho,M,africa_subsaariana
Afuni,F,africa_subsaariana
Agabito,M,africa_subsaariana
Agada,F,africa_subsaariana
Agamauga,F,africa_subsaariana
Agernaba,M,africa_subsaariana
Agesi,F,africa_subsaariana
Aggar,F,africa_subsaariana
Agho,M,africa_subsaariana
Agiana,M,africa_subsaariana
Agio,F,africa_subsaariana
Agiocua,F,africa_subsaariana
Ago,M,africa_subsaariana
Agoa,F,africa_subsaariana
Agobola,M,africa_subsaariana
Agoibi,F,africa_subsaariana
Agoibo,F,africa_subsaariana
Agole,M,africa_subsaariana
Agono,M,africa_subsaariana
Agosu,M,africa_subsaariana
Agrichi,F,africa_subsaariana
Agro,F,africa_subsaariana
Agro,M,africa_subsaariana
Agrogu,M,africa_subsaariana
Agu,M,africa_subsaariana
Agua,F,africa_subsaariana
Aguaca,F,africa_subsaariana
Aguacon,M,africa_subsaariana
Aguala,M,africa_subsaariana
Aguale,F,africa_subsaariana
Aguam,F,africa_subsaariana
Aguanda,M,africa_subsaariana
Aguasi,M,africa_subsaariana
Aguaxa,M,africa_subsaariana
Ague,M,africa_subsaariana
Aguea,F,africa_subsaariana
Agueda,M,africa_subsaariana
Aguedei,M,africa_subsaariana
Aguele,F,africa_subsaariana
Aguelu,F,africa_subsaariana
Aguemo,M,africa_subsaariana
Aguera,M,africa_subsaariana
Agueson,M,africa_subsaariana
Agueti,M,africa_subsaariana
Agueu,F,africa_subsaariana
Agufue,F,africa_subsaariana
Agufulami,M,africa_subsaariana
Aguia,M,africa_subsaariana
Aguiade,M,africa_subsaariana
Aguini,F,africa_subsaariana
Aguizo,M,africa_subsaariana
Agullemi,M,africa_subsaariana
Aguo,F,africa_subsaariana
Aguo,M,africa_subsaariana
Aguoy,F,africa_subsaariana
Agusa,M,africa_subsaariana
Agutore,F,africa_subsaariana
Aguye,F,africa_subsaariana
Ahamwanoray,F,africa_subsaariana
Ahanko,M,africa_subsaariana
Ahay,F,africa_subsaariana
Ahbokey,M,africa_subsaariana
Ahbolokay,F,africa_subsaariana
Ahborbah,M,africa_subsaariana
Ahbukroky,M,africa_subsaariana
Ahconer,F,africa_subsaariana
Ahdah,F,africa_subsaariana
Ahhame,F,africa_subsaariana
Ahi,F,africa_subsaariana
Ahkakanano,F,africa_subsaariana
Ahkanulah,F,africa_subsaariana
Ahkeyah,F,africa_subsaariana
Ahkobah,F,africa_subsaariana
Ahkoemy,M,africa_subsaariana
Ahlam,M,africa_subsaariana
Ahlaranuah,F,africa_subsaariana
Ahofoncheque,F,africa_subsaariana
Ahoungoday,M,africa_subsaariana
Ahsam,M,africa_subsaariana
Ahsiquashy,M,africa_subsaariana
Aibafa,F,africa_subsaariana
Aibele,M,africa_subsaariana
Aibimi,M,africa_subsaariana
Aibisu,M,africa_subsaariana
Aibivi,M,africa_subsaariana
Aibo,F,africa_subsaariana
Aibo,M,africa_subsaariana
Aica,F,africa_subsaariana
Aichemi,F,africa_subsaariana
Aicien,F,africa_subsaariana
Aieque,F,africa_subsaariana
Aife,M,africa_subsaariana
Aigbar,F,africa_subsaariana
Aila,M,africa_subsaariana
Ailabe,F,africa_subsaariana
Aile,M,africa_subsaariana
Ailecu,M,africa_subsaariana
Aileque,M,africa_subsaariana
Aileso,M,africa_subsaariana
Aina,F,africa_subsaariana
Aina,M,africa_subsaariana
Ainfi,M,africa_subsaariana
Aino,F,africa_subsaariana
Aino,M,africa_subsaariana
Aisa,M,africa_subsaariana
Aisiatu,M,africa_subsaariana
Ajafia,M,africa_subsaariana
Ajami,F,africa_subsaariana
Ajogola,F,africa_subsaariana
Ajucue,F,africa_subsaariana
Ajury,M,africa_subsaariana
Akachi,N,africa_subsaariana
Akbo,F,africa_subsaariana
Akbour,M,africa_subsaariana
Akbun,M,africa_subsaariana
Akeado,M,africa_subsaariana
Akeky,M,africa_subsaariana
Akemmen,F,africa_subsaariana
Akho,M,africa_subsaariana
Akinyi,F,africa_subsaariana
Akoo,M,africa_subsaariana
Akosua,F,africa_subsaariana
Akoy,F,africa_subsaariana
Akpofure,N,africa_subsaariana
Akua,F,africa_subsaariana
Akuchi,N,africa_subsaariana
Akwolly,M,africa_subsaariana
Ala,M,africa_subsaariana
Alaba,F,africa_subsaariana
Alabi,M,africa_subsaariana
Alaboo,M,africa_subsaariana
Alacerqui,M,africa_subsaariana
Alachere,M,africa_subsaariana
Aladasi,F,africa_subsaariana
Alade,M,africa_subsaariana
Aladi,M,africa_subsaariana
Alado,M,africa_subsaariana
Alague,M,africa_subsaariana
Alalack,F,africa_subsaariana
Alalana,M,africa_subsaariana
Alalemogolle,M,africa_subsaariana
Alalli,M,africa_subsaariana
Alamade,M,africa_subsaariana
Alamu,F,africa_subsaariana
Alamu,M,africa_subsaariana
Alamuhee,M,africa_subsaariana
Alando,M,africa_subsaariana
Alaovi,M,africa_subsaariana
Alaro,M,africa_subsaariana
Alatimica,M,africa_subsaariana
Alaya,F,africa_subsaariana
Alaya,M,africa_subsaariana
Alayala,M,africa_subsaariana
Alayco,M,africa_subsaariana
Alayodi,M,africa_subsaariana
Alayomi,M,africa_subsaariana
Aldulage,M,africa_subsaariana
Aleburo,M,africa_subsaariana
Alechipe,M,africa_subsaariana
Alecu,M,africa_subsaariana
Alecuyonu,M,africa_subsaariana
Aleja,M,africa_subsaariana
Alem,F,africa_subsaariana
Alema,M,africa_subsaariana
Alemayehu,N,africa_subsaariana
Alemo,M,africa_subsaariana
Alen,M,africa_subsaariana
Alenza,M,africa_subsaariana
Alepi,M,africa_subsaariana
Alevi,F,africa_subsaariana
Alexander,M,africa_subsaariana
Alhons,F,africa_subsaariana
Ali,M,africa_subsaariana
Aliaga,F,africa_subsaariana
Aliaja,F,africa_subsaariana
Alibo,F,africa_subsaariana
Alim,M,africa_subsaariana
Alimuche,M,africa_subsaariana
Alinafe,N,africa_subsaariana
Alinca,M,africa_subsaariana
Alinda,F,africa_subsaariana
Alioja,M,africa_subsaariana
Aliola,F,africa_subsaariana
Alipo,M,africa_subsaariana
Alique,F,africa_subsaariana
Aliu,M,africa_subsaariana
Allabe,M,africa_subsaariana
Allabum,F,africa_subsaariana
Allade,M,africa_subsaariana
Allado,M,africa_subsaariana
Alladu,M,africa_subsaariana
Allae,F,africa_subsaariana
Allagu,F,africa_subsaariana
Allague,M,africa_subsaariana
Allah,F,africa_subsaariana
Allahi,F,africa_subsaariana
Allahi,M,africa_subsaariana
Allai,F,africa_subsaariana
Allai,M,africa_subsaariana
Allala,M,africa_subsaariana
Allana,M,africa_subsaariana
Allani,M,africa_subsaariana
Allara,F,africa_subsaariana
Allasa,M,africa_subsaariana
Alle,M,africa_subsaariana
Allebuchu,M,africa_subsaariana
Allecam,M,africa_subsaariana
Allecanda,M,africa_subsaariana
Allechim,M,africa_subsaariana
Allegullaka,F,africa_subsaariana
Allegusi,M,africa_subsaariana
Allei,M,africa_subsaariana
Allelala,M,africa_subsaariana
Allelocu,M,africa_subsaariana
Allemo,F,africa_subsaariana
Allena,M,africa_subsaariana
Allenubi,F,africa_subsaariana
Allepola,F,africa_subsaariana
Alleque,F,africa_subsaariana
Alletovi,F,africa_subsaariana
Allevorisa,M,africa_subsaariana
Alley,M,africa_subsaariana
Alli,M,africa_subsaariana
Allibique,M,africa_subsaariana
Allibogu,M,africa_subsaariana
Allibona,M,africa_subsaariana
Allibudo,M,africa_subsaariana
Allicobi,M,africa_subsaariana
Allicubi,F,africa_subsaariana
Allimodu,M,africa_subsaariana
Allino,F,africa_subsaariana
Allioecu,F,africa_subsaariana
Allivi,F,africa_subsaariana
Allivie,F,africa_subsaariana
Allivitu,F,africa_subsaariana
Allivua,M,africa_subsaariana
Alloba,M,africa_subsaariana
Alloma,F,africa_subsaariana
Allonvolu,M,africa_subsaariana
Alloque,F,africa_subsaariana
Alloukah,M,africa_subsaariana
Allovi,M,africa_subsaariana
Allugole,M,africa_subsaariana
Aloa,M,africa_subsaariana
Alocha,F,africa_subsaariana
Aloogo,F,africa_subsaariana
Aloohara,F,africa_subsaariana
Alozue,M,africa_subsaariana
Alu,M,africa_subsaariana
Aluba,F,africa_subsaariana
Alubarica,M,africa_subsaariana
Alube,F,africa_subsaariana
Aluchone,M,africa_subsaariana
Aluci,M,africa_subsaariana
Alugu,M,africa_subsaariana
Alusa,M,africa_subsaariana
Aluyere,M,africa_subsaariana
Alve,M,africa_subsaariana
Ama,F,africa_subsaariana
Amaba,M,africa_subsaariana
Amacha,F,africa_subsaariana
Amachito,F,africa_subsaariana
Amackawodee,M,africa_subsaariana
Amacoge,F,africa_subsaariana
Amacoje,M,africa_subsaariana
Amacri,M,africa_subsaariana
Amacuo,M,africa_subsaariana
Amade,M,africa_subsaariana
Amadi,M,africa_subsaariana
Amado,M,africa_subsaariana
Amadu,M,africa_subsaariana
Amadubule,M,africa_subsaariana
Amagan,M,africa_subsaariana
Amago,M,africa_subsaariana
Amaino,M,africa_subsaariana
Amajundi,F,africa_subsaariana
Amaka,F,africa_subsaariana
Amala,M,africa_subsaariana
Amalique,M,africa_subsaariana
Amaloape,M,africa_subsaariana
Amana,M,africa_subsaariana
Amanambo,F,africa_subsaariana
Amandu,M,africa_subsaariana
Amandua,M,africa_subsaariana
Amandube,F,africa_subsaariana
Amanduzu,M,africa_subsaariana
Amangua,M,africa_subsaariana
Amani,M,africa_subsaariana
Amanilla,M,africa_subsaariana
Amape,M,africa_subsaariana
Amapue,F,africa_subsaariana
Amaque,F,africa_subsaariana
Amara,F,africa_subsaariana
Amara,M,africa_subsaariana
Amarachi,F,africa_subsaariana
Amaraco,M,africa_subsaariana
Amare,M,africa_subsaariana
Amaru,F,africa_subsaariana
Amasara,F,africa_subsaariana
Amashong,F,africa_subsaariana
Amasu,M,africa_subsaariana
Amate,M,africa_subsaariana
Amatei,M,africa_subsaariana
Amatonu,M,africa_subsaariana
Amay,F,africa_subsaariana
Amba,F,africa_subsaariana
Ambaca,M,africa_subsaariana
Ambigu,F,africa_subsaariana
Ambocisa,F,africa_subsaariana
Ambogo,F,africa_subsaariana
Ambunu,F,africa_subsaariana
Amechi,M,africa_subsaariana
Amefo,M,africa_subsaariana
Ameh,M,africa_subsaariana
Ameloqua,M,africa_subsaariana
Amesoqui,F,africa_subsaariana
Amibo,F,africa_subsaariana
Amibo,M,africa_subsaariana
Amibue,F,africa_subsaariana
Amiche,M,africa_subsaariana
Amiguo,M,africa_subsaariana
Amimo,F,africa_subsaariana
Amimo,M,africa_subsaariana
Amineta,F,africa_subsaariana
Amiromo,F,africa_subsaariana
Ammer,M,africa_subsaariana
Amnohah,M,africa_subsaariana
Amoata,F,africa_subsaariana
Amobo,M,africa_subsaariana
Amocha,F,africa_subsaariana
Amoda,M,africa_subsaariana
Amodele,F,africa_subsaariana
Amodile,F,africa_subsaariana
Amodo,M,africa_subsaariana
Amodu,M,africa_subsaariana
Amoguaco,M,africa_subsaariana
Amogue,M,africa_subsaariana
Amoleco,F,africa_subsaariana
Amollibo,M,africa_subsaariana
Amoloco,M,africa_subsaariana
Amon,M,africa_subsaariana
Amonaillo,M,africa_subsaariana
Amoney,M,africa_subsaariana
Amope,F,africa_subsaariana
Amoque,F,africa_subsaariana
Amora,M,africa_subsaariana
Amori,F,africa_subsaariana
Amori,M,africa_subsaariana
Amosa,F,africa_subsaariana
Amoso,F,africa_subsaariana
Amoso,M,africa_subsaariana
Amoto,M,africa_subsaariana
Amoukah,M,africa_subsaariana
Amoya,F,africa_subsaariana
Amuamaraco,M,africa_subsaariana
Amuaye,M,africa_subsaariana
Amuchan,M,africa_subsaariana
Amuci,M,africa_subsaariana
Amucu,M,africa_subsaariana
Amudi,M,africa_subsaariana
Amueque,M,africa_subsaariana
Amuesi,M,africa_subsaariana
Amui,M,africa_subsaariana
Amuiche,M,africa_subsaariana
Amulo,M,africa_subsaariana
Amumama,M,africa_subsaariana
Amusengua,F,africa_subsaariana
Amuso,M,africa_subsaariana
Amuye,M,africa_subsaariana
Ana,F,africa_subsaariana
Anaca,M,africa_subsaariana
Anaco,M,africa_subsaariana
Anadi,F,africa_subsaariana
Anadigue,M,africa_subsaariana
Anafe,M,africa_subsaariana
Anaghha,M,africa_subsaariana
Anagodon,F,africa_subsaariana
Anagua,F,africa_subsaariana
Anaimo,M,africa_subsaariana
Anaja,M,africa_subsaariana
Analcom,M,africa_subsaariana
Anambe,F,africa_subsaariana
Anamoneche,F,africa_subsaariana
Anamu,M,africa_subsaariana
Anan,N,africa_subsaariana
Anana,M,africa_subsaariana
Anando,F,africa_subsaariana
Ananese,M,africa_subsaariana
Anante,M,africa_subsaariana
Anasancha,M,africa_subsaariana
Anastacio,M,africa_subsaariana
Anatah,F,africa_subsaariana
Anchacue,M,africa_subsaariana
Anchua,F,africa_subsaariana
Anchumani,M,africa_subsaariana
Ancuo,F,africa_subsaariana
Ande,M,africa_subsaariana
Andero,M,africa_subsaariana
Andi,M,africa_subsaariana
Andile,N,africa_subsaariana
Ando,M,africa_subsaariana
Andres,M,africa_subsaariana
Andu,M,africa_subsaariana
Anecollia,M,africa_subsaariana
Anecu,M,africa_subsaariana
Anego,M,africa_subsaariana
Anemamis,M,africa_subsaariana
Anemogo,M,africa_subsaariana
Anesia,F,africa_subsaariana
Angana,M,africa_subsaariana
Anguagh,M,africa_subsaariana
Angueli,M,africa_subsaariana
Ani,M,africa_subsaariana
Anibu,F,africa_subsaariana
Anica,F,africa_subsaariana
Aniche,F,africa_subsaariana
Anicoy,F,africa_subsaariana
Anicu,F,africa_subsaariana
Anicua,M,africa_subsaariana
Aniguaco,F,africa_subsaariana
Anilah,M,africa_subsaariana
Aniola,F,africa_subsaariana
Anique,M,africa_subsaariana
Aniquile,F,africa_subsaariana
Anna,M,africa_subsaariana
